Term,Easy,Formal
asymmetry,One half or side of the mole does not match the other half or side.,Lack or absence of balanced proportions between parts of a thing.
Breslow thickness,A measure of how deep the melanoma tumor has grown into the skin.,"A measure of how deeply a melanoma tumor has grown into the skin. The tumor thickness (depth) is usually measured from the top of the tumor to the deepest tumor cells. If the tumor is ulcerated (the skin is broken), it is measured from the base of the ulcer to the deepest tumor cells. Breslow thickness is used to help determine the stage of cancer. Thicker tumors are linked with lower survival rates. Also called Breslow depth."
dermatologist,A doctor who’s an expert in skin diseases.,A doctor who has special training to diagnose and treat skin problems.
dermis,The second layer of skin that is beneath the top layer (epidermis).,"The inner layer of the two main layers of the skin. The dermis has connective tissue, blood vessels, oil and sweat glands, nerves, hair follicles, and other structures. It is made up of a thin upper layer called the papillary dermis, and a thick lower layer called the reticular dermis."
distant metastasis,Cancer cells have spread to a part of the body far away from the first (primary) melanoma tumor.,Refers to cancer that has spread from the original (primary) tumor to distant organs or distant lymph nodes. Also called distant cancer.
epidermis,The outer layer of skin.,The outer layer of the two main layers of the skin.
excisional biopsy,Surgery that removes the entire skin tumor or abnormal-looking area (lesion) to test for cancer cells.,A surgical procedure in which a cut is made through the skin to remove an entire lump or suspicious area so it can be checked under a microscope for signs of disease. A small amount of healthy tissue around the abnormal area may also be removed.
general anesthesia,A controlled loss of wakefulness from drugs.,A temporary loss of feeling and a complete loss of awareness that feels like a very deep sleep. It is caused by special drugs or other substances called anesthetics. General anesthesia keeps patients from feeling pain during surgery or other procedures.
infusion,"A method of putting fluids, including drugs, into the bloodstream. Also called intravenous infusion.","A method of putting fluids, including drugs, into the bloodstream. Also called intravenous infusion."
lymphedema,Swelling due to buildup of lymph fluid in the fatty tissue just under the skin near the surgery site.,"A condition in which lymph builds up in tissues and causes swelling. Lymphedema usually affects an arm or leg, but it can also affect other parts of the body. Lymphedema can occur when lymph vessels or nodes become damaged or blocked, which affects the flow of lymph in the body. This is most commonly caused by cancer or cancer treatment, such as surgery or radiation therapy. It can also be caused by infection with certain parasites or by having certain inherited conditions in which the lymph nodes or lymph vessels are abnormal or absent. Lymphedema cannot be cured, but treatment can help relieve swelling, pain, and other symptoms."
resectable,Cancer able to be removed (resected) by surgery.,Able to be removed by surgery.
ulceration,A break in the skin like an open sore.,The formation of a break on the skin or on the surface of an organ. An ulcer forms when the surface cells die and are cast off. Ulcers may be associated with cancer and other diseases.
bone marrow,"The soft, spongy tissue that has many blood vessels and is found in the center of most bones. There are two types of bone marrow: red and yellow. Red bone marrow contains blood stem cells that can become red blood cells, white blood cells, or platelets. Yellow bone marrow is made mostly of fat and contains stem cells that can become cartilage, fat, or bone cells.","The soft, spongy tissue that has many blood vessels and is found in the center of most bones. There are two types of bone marrow: red and yellow. Red bone marrow contains blood stem cells that can become red blood cells, white blood cells, or platelets. Yellow bone marrow is made mostly of fat and contains stem cells that can become cartilage, fat, or bone cells."
bone marrow aspiration,"A procedure in which a small sample of bone marrow is removed, usually from the hip bone, breastbone, or thigh bone. A small area of skin and the surface of the bone underneath are numbed with an anesthetic. Then, a special wide needle is pushed into the bone. A sample of liquid bone marrow is removed with a syringe attached to the needle. The bone marrow is sent to a laboratory to be looked at under a microscope. This procedure may be done at the same time as a bone marrow biopsy.","A procedure in which a small sample of bone marrow is removed, usually from the hip bone, breastbone, or thigh bone. A small area of skin and the surface of the bone underneath are numbed with an anesthetic. Then, a special wide needle is pushed into the bone. A sample of liquid bone marrow is removed with a syringe attached to the needle. The bone marrow is sent to a laboratory to be looked at under a microscope. This procedure may be done at the same time as a bone marrow biopsy."
bone marrow biopsy,"A procedure in which a small sample of bone with bone marrow inside it is removed, usually from the hip bone. A small area of skin and the surface of the bone underneath are numbed with an anesthetic. Then, a special, wide needle is pushed into the bone and rotated to remove a sample of bone with the bone marrow inside it. The sample is sent to a laboratory to be looked at under a microscope. This procedure may be done at the same time as a bone marrow aspiration.","A procedure in which a small sample of bone with bone marrow inside it is removed, usually from the hip bone. A small area of skin and the surface of the bone underneath are numbed with an anesthetic. Then, a special, wide needle is pushed into the bone and rotated to remove a sample of bone with the bone marrow inside it. The sample is sent to a laboratory to be looked at under a microscope. This procedure may be done at the same time as a bone marrow aspiration."
gastroenterologist,A doctor who’s an expert in digestive diseases.,A doctor who has special training in diagnosing and treating disorders of the digestive system.
histology,The study of tissues and cells under a microscope.,The study of tissues and cells under a microscope.
immunophenotyping,A lab test that detects the type of cells present based on the cells’ surface proteins.,"A process that uses antibodies to identify cells based on the types of antigens or markers on the surface of the cells. This process is used in basic research and to help diagnose diseases, such as specific types of leukemia and lymphoma. Immunophenotyping may also be used to separate cells into different groups based on the markers they have on the surface."
lymph,A clear fluid containing white blood cells.,"Clear, watery fluid that comes from plasma (the liquid part of the blood) that has leaked through the blood capillary walls into the spaces around cells. Lymph carries white blood cells, nutrients, and other substances throughout the body in lymph vessels. As lymph flows through the lymph vessels, it collects extra fluids, cellular debris, and harmful substances from the tissues and is filtered by lymph nodes. The filtered lymph returns to the bloodstream to help maintain fluid balance in the body and immune health. Also called lymphatic fluid."
lymphadenopathy,Lymph nodes that are abnormal in size or consistency.,Disease or swelling of the lymph nodes.
lymphatic system,"The tissues and organs that help the body fight infection and disease. The lymphatic system includes the lymph nodes, lymph vessels (thin tubes that carry lymph and white blood cells), bone marrow, spleen, thymus, tonsils and adenoids, and lymph tissue in the small intestine and other parts of the body. The lymphatic system is an important part of the body's immune system. It also plays an important role in maintaining healthy fluid levels in the body, removing cellular debris and harmful substances from the tissues, and helping the body absorb certain fats and other molecules. Also called lymph system.","The tissues and organs that help the body fight infection and disease. The lymphatic system includes the lymph nodes, lymph vessels (thin tubes that carry lymph and white blood cells), bone marrow, spleen, thymus, tonsils and adenoids, and lymph tissue in the small intestine and other parts of the body. The lymphatic system is an important part of the body's immune system. It also plays an important role in maintaining healthy fluid levels in the body, removing cellular debris and harmful substances from the tissues, and helping the body absorb certain fats and other molecules. Also called lymph system."
lymphocyte,A type of white blood cell that is part of the immune system.,"A type of immune cell that is made in the bone marrow and is found in the blood and in lymph tissue. The two main types of lymphocytes are B lymphocytes and T lymphocytes. B lymphocytes make antibodies, and T lymphocytes help kill tumor cells and help control immune responses. A lymphocyte is a type of white blood cell."
lymphoid,Referring to a type of white blood cell called a lymphocyte.,"Referring to lymphocytes, a type of white blood cell. Also refers to tissue in which lymphocytes develop."
remission,"A decrease in or disappearance of signs and symptoms of cancer. In partial remission, some, but not all, signs and symptoms of cancer have disappeared. In complete remission, all signs and symptoms of cancer have disappeared, although cancer still may be in the body.","A decrease in or disappearance of signs and symptoms of cancer. In partial remission, some, but not all, signs and symptoms of cancer have disappeared. In complete remission, all signs and symptoms of cancer have disappeared, although cancer still may be in the body."
spleen,"An organ that is part of the lymphatic system. The spleen makes lymphocytes, filters the blood, stores blood cells, and destroys old blood cells.",An organ that is part of the lymphatic and blood systems. The spleen filters the blood to help destroy microorganisms and get rid of old or damaged red blood cells. It also makes lymphocytes (white blood cells) and stores blood cells. The spleen is located on the upper left side of the abdomen under the ribs and above the stomach.
splenectomy,Surgery to remove the spleen.,An operation to remove the spleen.
translocation,A switching of parts between two chromosomes.,"A genetic change in which a piece of one chromosome breaks off and attaches to another chromosome. Sometimes pieces from two different chromosomes will trade places with each other. Translocations may lead to medical problems such as leukemia, breast cancer, schizophrenia, muscular dystrophy, and Down syndrome."
adrenal cortex,The outer layer of the adrenal gland that makes androgen and corticosteroid hormones.,The outer part of the adrenal gland (a small organ on top of each kidney). The adrenal cortex makes androgen and corticosteroid hormones.
adrenalectomy,Surgery to remove one or both adrenal glands.,Surgery to remove one or both adrenal glands (a small organ on top of each kidney).
hypercortisolism,"A condition caused by the release of excess cortisol, a hormone, in the body. Also called Cushing syndrome.","A condition in which there is too much cortisol (a hormone made by the outer layer of the adrenal gland) in the body. Hypercortisolism may be caused by taking too many steroid drugs or by certain types of tumors. Tumors that make adrenocorticotropic hormone (ACTH) cause the adrenal gland to make too much cortisol. Symptoms of hypercortisolism include a round face, thin arms and legs, severe fatigue and muscle weakness, high blood pressure, high blood sugar, purple or pink stretch marks on the skin, and weight gain, especially in the abdomen. Also called Cushing syndrome."
hypertension,A condition in which the force of the blood against the artery walls is too high. Also referred to as high blood pressure.,"A blood pressure of 140/90 or higher. Hypertension usually has no symptoms. It can harm the arteries and cause an increase in the risk of stroke, heart attack, kidney failure, and blindness. Also called high blood pressure."
paraganglioma,Tumor that arises from neuroendocrine tissues found along the spine.,"A rare, usually benign tumor that develops from cells of the paraganglia. Paraganglia are a collection of cells that came from embryonic nervous tissue, and are found near the adrenal glands and some blood vessels and nerves. Paragangliomas that develop in the adrenal gland are called pheochromocytomas. Those that develop outside of the adrenal glands near blood vessels or nerves are called glomus tumors or chemodectomas."
pheochromocytoma,Tumor that forms in the center of the adrenal gland that causes it to make too much adrenaline.,"Tumor that forms in the center of the adrenal gland (gland located above the kidney) that causes it to make too much adrenaline. Pheochromocytomas are usually benign (not cancer) but can cause high blood pressure, pounding headaches, heart palpitations, flushing of the face, nausea, and vomiting."
B cell,A type of lymphocyte (white blood cell).,A type of white blood cell that makes antibodies. B cells are part of the immune system and develop from stem cells in the bone marrow. Also called B lymphocyte.
T cell,A type of lymphocyte.,A type of white blood cell. T cells are part of the immune system and develop from stem cells in the bone marrow. They help protect the body from infection and may help fight cancer. Also called T lymphocyte and thymocyte.
basal cell carcinoma,"A type of skin cancer that most often develops on areas of skin exposed to the sun, such as the face.",Cancer that begins in the lower part of the epidermis (the outer layer of the skin). It may appear as a small white or flesh-colored bump that grows slowly and may bleed. Basal cell carcinomas are usually found on areas of the body exposed to the sun. Basal cell carcinomas rarely metastasize (spread) to other parts of the body. They are the most common form of skin cancer. Also called basal cell cancer.
baseline,A starting point to which future test results are compared.,"An initial measurement of a condition that is taken at an early time point and used for comparison over time to look for changes. For example, the size of a tumor will be measured before treatment (baseline) and then afterwards to see if the treatment had an effect."
bone scan,"A procedure to check for abnormal areas or damage in the bones. A very small amount of radioactive material is injected into a vein and travels through the blood. The radioactive material collects in the bones and is detected by a scanner (a special camera that takes pictures of the inside of the body). A bone scan may be used to diagnose bone tumors or cancer that has spread to the bone. It may also be used to help diagnose fractures, bone infections, or other bone problems. Also called bone scintigraphy.","A procedure to check for abnormal areas or damage in the bones. A very small amount of radioactive material is injected into a vein and travels through the blood. The radioactive material collects in the bones and is detected by a scanner (a special camera that takes pictures of the inside of the body). A bone scan may be used to diagnose bone tumors or cancer that has spread to the bone. It may also be used to help diagnose fractures, bone infections, or other bone problems. Also called bone scintigraphy."
consolidation therapy,A treatment given after the initial therapy kills all visible cancer. Consolidation therapy is used to treat any cancer cells left behind by previous therapy.,"Treatment that is given after cancer has disappeared following the initial therapy. Consolidation therapy is used to kill any cancer cells that may be left in the body. It may include radiation therapy, a stem cell transplant, or treatment with drugs that kill cancer cells. Also called intensification therapy and postremission therapy."
cystectomy,A surgical procedure that removes all or part of the bladder.,Surgery to remove all or part of the bladder (the organ that holds urine) or to remove a cyst (a sac or capsule in the body).
cystoscopy,A procedure that allows a doctor to see inside the bladder using a special tool inserted through the urethra. Usually occurs in a procedure room in the doctor’s office.,"Examination of the bladder and urethra using a cystoscope, inserted into the urethra. A cystoscope is a thin, tube-like instrument with a light and a lens for viewing. It may also have a tool to remove tissue to be checked under a microscope for signs of disease."
dose-dense chemotherapy,A method of speeding up chemotherapy by reducing the amount of time between treatments.,A chemotherapy treatment plan in which drugs are given with less time between treatments than in a standard chemotherapy treatment plan.
hematuria,The presence of blood in urine.,Blood in the urine.
local therapy,A treatment given to a specific area or organ of the body. Examples are surgery and radiation.,"Treatment that is directed to a specific organ or limited area of the body, such as the breast or an abnormal growth on the skin. Examples of local therapy used in cancer are surgery, radiation therapy, cryotherapy, laser therapy, and topical therapy (medicine in a lotion or cream that is applied to the skin). Also called localized therapy."
radical cystectomy,"A surgical procedure that removes the bladder, nearby lymph nodes, and other organs in the pelvis.",Surgery to remove all of the bladder (the organ that holds urine) as well as nearby tissues and organs.
resection,A surgical procedure that removes as much cancer as possible while leaving the rest of the tissue or organ in place.,Surgery to remove tissue or part or all of an organ.
stage,"The extent of a cancer in the body. Staging is usually based on the size of the tumor, whether lymph nodes contain cancer, and whether the cancer has spread from the original site to other parts of the body.","The extent of a cancer in the body. Staging is usually based on the size of the tumor, whether lymph nodes contain cancer, and whether the cancer has spread from the original site to other parts of the body."
surveillance,Ongoing testing after treatment ends to watch for cancer to return.,"In medicine, closely watching a patient’s condition but not treating it unless there are changes in test results. Surveillance is also used to find early signs that a disease has come back. It may also be used for a person who has an increased risk of a disease, such as cancer. During surveillance, certain exams and tests are done on a regular schedule. In public health, surveillance may also refer to the ongoing collection of information about a disease, such as cancer, in a certain group of people. The information collected may include where the disease occurs in a population and whether it affects people of a certain gender, age, or ethnic group."
systemic therapy,"Treatment using substances that travel through the bloodstream, reaching and affecting cells all over the body.","Treatment using substances that travel through the bloodstream, reaching and affecting cells all over the body."
ureteroscopy,A procedure that allows a doctor to see inside the kidneys and ureters using a special tool called a ureteroscope.,"A procedure that uses a ureteroscope to look inside the ureter (tube that connects the bladder to the kidney) and the renal pelvis (part of the kidney that collects urine and funnels it into the ureter). A ureteroscope is a thin, tube-like instrument with a light and a lens for viewing. It may also have a tool to remove tissue to be checked under a microscope for signs of disease. The ureteroscope is inserted through the urethra into the bladder, ureter, and renal pelvis. Ureteroscopy may be used to check for cancer or other abnormal growths in the ureter and renal pelvis and to treat stones in the kidney or ureter."
urinary diversion,A type of surgery that creates a new way for urine to leave the body after radical cystectomy.,"A surgical procedure to make a new way for urine to leave the body. It may involve redirecting urine into the colon, using catheters to drain the bladder, or making an opening in the abdomen and collecting urine in a bag outside the body."
urine cytology,A lab test performed on urine to detect cancer or precancerous cells.,Tests performed on cells in urine to detect disease.
urothelium,The stretchy inner lining of the bladder and other organs of the urinary tract.,"The lining of the urinary tract, including the renal pelvis, ureters, bladder, and urethra."
CT scan,A computed tomography (CT or CAT) scan uses x-rays and computer technology to take pictures of the inside of the body.,"A procedure that uses a computer linked to an x-ray machine to make a series of detailed pictures of areas inside the body. The pictures are taken from different angles and are used to create 3-dimensional (3-D) views of tissues and organs. A dye may be injected into a vein or swallowed to help the tissues and organs show up more clearly. A CT scan may be used to help diagnose disease, plan treatment, or find out how well treatment is working. Also called CAT scan, computed tomography scan, computerized axial tomography scan, and computerized tomography."
PET scan,A positron emission tomography (PET) scan is a type of imaging test that helps reveal how your tissues and organs are functioning.,"A procedure in which a small amount of radioactive glucose (sugar) is injected into a vein, and a scanner is used to make detailed, computerized pictures of areas inside the body where the glucose is taken up. Because cancer cells often take up more glucose than normal cells, the pictures can be used to find cancer cells in the body. Also called positron emission tomography scan."
capillary leak syndrome,The escape of fluid and proteins from blood vessels into surrounding tissues. Results in dangerously low blood pressure.,"A condition in which fluid and proteins leak out of tiny blood vessels and flow into surrounding tissues, resulting in dangerously low blood pressure. Capillary leak syndrome may lead to multiple organ failure and shock."
delirium,"A mental state causing confusion, disorientation, and memory problems. May also cause agitation, hallucinations, and extreme excitement. A possible side effect of CAR T-cell therapy.","A mental state in which a person is confused and has reduced awareness of their surroundings. The person may also be anxious, agitated, or have less energy than usual and be tired or depressed. Delirium can also cause hallucinations and changes in attention span, mood or behavior, judgement, muscle control, and sleeping patterns. The symptoms of delirium usually occur suddenly, last a short time, and may come and go. It may be caused by infection, dehydration, abnormal levels of some electrolytes, organ failure, medicines, or serious illness, such as advanced cancer."
hypogammaglobulinemia,"An immune system problem in which not enough antibodies are made, resulting in increased infection risk.",A condition in which the level of immunoglobulins (antibodies) in the blood is low and the risk of infection is high.
hypotension,Low blood pressure. A possible complication of cytokine release syndrome.,Abnormally low blood pressure.
hypoxia,Decreased oxygen reaching body tissue. A possible complication of cytokine release syndrome.,"A condition in which there is a decrease in the oxygen supply to a tissue. In cancer treatment, the level of hypoxia in a tumor may help predict the response of the tumor to the treatment."
seizure,"Sudden, uncontrolled body movements and changes in behavior caused by abnormal electrical activity in the brain.","Sudden, uncontrolled body movements and changes in behavior that occur because of abnormal electrical activity in the brain. Symptoms include loss of awareness, changes in emotion, loss of muscle control, and shaking. Seizures may be caused by drugs, high fevers, head injuries, and certain diseases, such as epilepsy."
abdomen,The belly area between the chest and pelvis.,"The area of the body that contains the pancreas, stomach, intestines, liver, gallbladder, and other organs."
adenosquamous carcinoma,A less common type of cervical cancer that contains both squamous cells and gland-like cells.,"A type of cancer that contains two types of cells: squamous cells (thin, flat cells that line certain organs) and gland-like cells."
brachytherapy,"A type of radiation therapy in which radioactive material sealed in needles, seeds, wires, or catheters is placed directly into or near a tumor. Also called internal radiation therapy.","A type of radiation therapy in which a radioactive substance is sealed inside materials that can be implanted, such as pellets, seeds, ribbons, wires, needles, or capsules, and placed inside the body, directly into or near a tumor or within a body cavity. The implant may be placed through a small flexible tube called a catheter or through an applicator device. It may be kept in place for a few minutes, for many days, or for the rest of a person’s life. Brachytherapy is often used to treat cancers of the head and neck, breast, cervix, prostate, and eye. Also called implant radiation therapy, internal radiation therapy, and radiation brachytherapy."
cervix,The lower part of the uterus that connects to the vagina.,"The lower, narrow end of the uterus (womb) that connects the uterus to the vagina (birth canal). The cervix allows fluids, such as menstrual blood, to pass from the uterus into the vagina. It also widens during the birth of a baby. The cervix has two main parts, the ectocervix and the endocervix. The ectocervix is the outer part of the cervix that can be seen during a pelvic exam. The endocervix is the inner part of the cervix that forms a canal that connects the vagina to the uterus. The area where the endocervix and ectocervix come together is called the squamocolumnar junction (also called the transformation zone). Most abnormal cell changes and cervical cancers begin in the squamous cells (thin, flat-looking cells under a microscope) of the squamocolumnar junction."
cone biopsy,A procedure in which a cone-shaped piece of abnormal tissue is removed from the cervix. May be used to gather more information about the extent of a cancer or to treat some early cervical cancers.,"A procedure in which a cone-shaped piece of abnormal tissue is removed from the cervix. A scalpel, a laser knife, or a thin wire loop heated by an electric current may be used to remove the tissue. The tissue is then checked under a microscope for signs of disease. Cone biopsy may be used to check for cervical cancer or to treat certain cervical conditions. Types of cone biopsy are LEEP (loop electrosurgical excision procedure) and cold knife conization (cold knife cone biopsy). Also called conization."
ectocervix,"The rounded, outer part of the cervix that extends into the vagina. The ectocervix is lined with cells called squamous cells.","The outer part of the cervix that opens into the vagina. The ectocervix is lined with squamous cells (thin, flat-looking cells under a microscope). During a pelvic exam, cells may be scraped from the ectocervix so they can be checked under a microscope for infection, inflammation, cervical cancer, or changes that may become cervical cancer. Most cervical cancers begin in squamous cells. Also called exocervix."
endocervix,The inner part of the cervix that forms a canal between the vagina and the uterus. The endocervix is lined with columnar (glandular) cells that make mucus.,"The inner part of the cervix that forms a canal that connects the vagina to the uterus. The endocervix is lined with glandular cells that make mucus. During a pelvic exam, cells may be scraped from the endocervix so they can be checked under a microscope for infection, inflammation, cervical cancer, or changes that may become cervical cancer. A type of cervical cancer that begins in cells of the endocervix is called cervical adenocarcinoma. Also called endocervical canal."
fallopian tube,A thin tube through which an egg travels from the ovary to the uterus.,"One of two long, slender tubes that connect the ovaries to the uterus. Eggs pass from the ovaries, through the fallopian tubes, to the uterus. In the female reproductive tract, there is one ovary and one fallopian tube on each side of the uterus."
modified radical hysterectomy,Surgery to remove the uterus (including the cervix). A half inch or less of the vagina is also removed. Some of the connective tissue and fat surrounding the cervix is also removed.,"Surgery to remove the uterus, cervix, upper part of the vagina, and nearby ligaments and tissues. The ovaries, fallopian tubes, or nearby lymph nodes may also be removed. A modified radical hysterectomy removes fewer tissues and/or organs than a radical hysterectomy."
neuropathy,"A nerve problem that causes pain, tingling, and numbness in the hands and feet.","A nerve problem that causes pain, numbness, tingling, swelling, or muscle weakness in different parts of the body. It usually begins in the hands or feet and gets worse over time. Neuropathy may be caused by cancer or cancer treatment, such as chemotherapy. It may also be caused by physical injury, infection, toxic substances, or conditions such as diabetes, kidney failure, or malnutrition. Also called peripheral neuropathy."
oophoropexy,Surgery that moves one or both ovaries out of the range of the radiation beam. Also called ovarian transposition.,"A procedure used to help keep a woman fertile by preventing damage to the ovaries during radiation therapy. Before radiation therapy begins, one or both ovaries and fallopian tubes are separated from the uterus and attached to the wall of the abdomen away from where the radiation will be given. Oophoropexy may be useful for women who want to have children after having radiation therapy that can cause infertility. It is a type of fertility preservation. Also called ovarian transposition."
parametrium,The fat and connective tissue surrounding the uterus. The parametrium helps connect the uterus to other tissues in the pelvis.,The fat and connective tissue that surrounds the uterus. The parametrium helps connect the uterus to other tissues in the pelvis.
pelvic exam,"A physical exam of the external genitalia, vagina, cervix, uterus, fallopian tubes, and ovaries.","A physical exam of the vulva, vagina, cervix, uterus, fallopian tubes, ovaries, and rectum. First, the vulva is checked for redness, swelling, sores, or other abnormalities. A speculum is then inserted into the vagina to widen it so the vagina and cervix can be checked for signs of disease. Cell samples may be taken for a Pap test or HPV test to screen for cervical cancer. The health care provider then inserts one or two lubricated, gloved fingers of one hand into the vagina and presses on the lower abdomen with the other hand to feel for lumps and check the size, shape, and position of the uterus and ovaries. The rectum may also be checked for lumps or abnormal areas. Also called internal exam."
pelvic exenteration,"A radical surgery used to treat cervical cancer that returns to the pelvis. The uterus (including the cervix), vagina, ovaries, and fallopian tubes are removed. The bladder, rectum, and/or anus may also be removed.","Surgery to remove the lower colon, rectum, and bladder, and create stomata (openings) through which urine and stool are passed out of the body. In women, the cervix, vagina, ovaries, and nearby lymph nodes are also removed."
radical hysterectomy,Surgery to remove the uterus (including the cervix) and the top quarter or third of the vagina. The connective tissue and fat surrounding the cervix is also removed.,"Surgery to remove the uterus, cervix, part of the vagina, and a wide area of ligaments and tissues around these organs. The ovaries, fallopian tubes, and nearby lymph nodes may also be removed. A radical hysterectomy is usually done through a large incision (cut) in the abdomen."
radiologist,A doctor who is an expert in interpreting imaging tests.,"A doctor who has special training in creating and interpreting pictures of areas inside the body. The pictures are made with x-rays, sound waves, or other types of energy."
surgical menopause,The stopping of menstrual periods caused by surgery to remove the ovaries.,"Describes a stop in a woman’s menstrual periods that is caused by surgery to remove her ovaries. Symptoms of menopause include hot flashes, mood swings, night sweats, vaginal dryness, trouble concentrating, and infertility."
trachelectomy,Surgery to remove the cervix. The upper part of the vagina and certain pelvic lymph nodes may also be removed.,"Surgery to remove the cervix. There are two types of trachelectomy: simple trachelectomy and radical trachelectomy. During a simple trachelectomy, only the cervix is removed. During a radical trachelectomy, the cervix, nearby tissue, and the upper part of the vagina are removed. Lymph nodes in the pelvis may also be removed. Because the uterus, fallopian tubes, and ovaries are not removed, a trachelectomy may be done to treat a person with early-stage cervical cancer who wants to become pregnant in the future. Also called cervicectomy."
uterus,The organ where a fetus grows and develops during pregnancy. Also called the womb.,"The hollow, pear-shaped organ in a woman's pelvis. The uterus is where a fetus (unborn baby) develops and grows. Also called womb."
vagina,"The hollow, muscular tube through which babies are born. Also called the birth canal.","The muscular canal that goes from the uterus to the outside of the body. During birth, the baby passes through the vagina. Also called birth canal."
FOLFIRI,"A chemotherapy regimen used for some advanced colon cancers. Includes leucovorin calcium, fluorouracil, and irinotecan.","An abbreviation for a chemotherapy combination used to treat advanced colorectal cancer that has spread. It is also being studied in the treatment of other types of cancer. It includes the drugs leucovorin calcium (folinic acid), fluorouracil, and irinotecan hydrochloride. Also called FOLFIRI regimen."
FOLFIRINOX,"A chemotherapy regimen used for some advanced colon cancers. Includes leucovorin calcium (folinic acid), fluorouracil, irinotecan, and oxaliplatin.","An abbreviation for a chemotherapy combination used to treat pancreatic cancer that has spread to other parts of the body. It includes the drugs leucovorin calcium (folinic acid), fluorouracil, irinotecan hydrochloride, and oxaliplatin. Also called FOLFIRINOX regimen."
FOLFOX,"A chemotherapy regimen that includes leucovorin calcium, fluorouracil, and oxaliplatin.","An abbreviation for a combination chemotherapy regimen that is used to treat colorectal cancer. It includes the drugs leucovorin calcium (folinic acid), fluorouracil, and oxaliplatin. There are several different FOLFOX regimens, including FOLFOX-4, FOLFOX-6, modified FOLFOX-6 (mFOLFOX-6), and FOLFOX-7. They differ in the doses and ways in which the three drugs are given. Also called FOLFOX regimen."
ablation,"In medicine, the removal or destruction of a body part or tissue or its function. Ablation may be performed by surgery, hormones, drugs, radiofrequency, heat, or other methods.","In medicine, the removal or destruction of a body part or tissue or its function. Ablation may be performed by surgery, hormones, drugs, radiofrequency, heat, or other methods."
absolute neutrophil count,A measure of the number of neutrophils in the blood.,"A measure of the number of neutrophils in the blood. Neutrophils are a type of white blood cell. They help the body fight infection. An absolute neutrophil count may be used to check for infection, inflammation, leukemia, and other conditions. The lower a person's absolute neutrophil count is, the higher the risk is of getting an infection. Having an absolute neutrophil count of less than 500 means there is a high risk of getting an infection. Cancer treatment, such as chemotherapy, may reduce the absolute neutrophil count. Also called ANC."
acute lymphoblastic leukemia,"A type of leukemia (blood cancer) that comes on quickly and is fast growing. In acute lymphoblastic leukemia, there are too many lymphoblasts (immature white blood cells) in the blood and bone marrow. Also called acute lymphocytic leukemia and ALL.","A type of leukemia (blood cancer) that comes on quickly and is fast growing. In acute lymphoblastic leukemia, there are too many lymphoblasts (immature white blood cells) in the blood and bone marrow. Also called acute lymphocytic leukemia and ALL."
adenoma,"A tumor that is not cancer. It starts in gland-like cells of the epithelial tissue (thin layer of tissue that covers organs, glands, and other structures within the body).","A tumor that is not cancer. It starts in gland-like cells of the epithelial tissue (thin layer of tissue that covers organs, glands, and other structures within the body)."
adrenocortical carcinoma,"A rare cancer that forms in the outer layer of tissue of the adrenal gland (a small organ on top of each kidney that makes steroid hormones, adrenaline, and noradrenaline to control heart rate, blood pressure, and other body functions). Also called adrenocortical cancer and cancer of the adrenal cortex.","A rare cancer that forms in the outer layer of tissue of the adrenal gland (a small organ on top of each kidney that makes steroid hormones, adrenaline, and noradrenaline to control heart rate, blood pressure, and other body functions). Also called adrenocortical cancer and cancer of the adrenal cortex."
stage IV prostate cancer,"Stage IV is divided into stages IVA and IVB. In stage IVA, cancer is found in one or both sides of the prostate and may have spread to the seminal vesicles or to nearby tissue or organs, such as the rectum, bladder, or pelvic wall. Cancer has spread to nearby lymph nodes. The prostate-specific antigen (PSA) can be any level and the Grade Group is 1, 2, 3, 4, or 5 (Gleason score is 10 or less). In stage IVB, cancer has spread to other parts of the body, such as the bones or distant lymph nodes.","Stage IV is divided into stages IVA and IVB. In stage IVA, cancer is found in one or both sides of the prostate and may have spread to the seminal vesicles or to nearby tissue or organs, such as the rectum, bladder, or pelvic wall. Cancer has spread to nearby lymph nodes. The prostate-specific antigen (PSA) can be any level and the Grade Group is 1, 2, 3, 4, or 5 (Gleason score is 10 or less). In stage IVB, cancer has spread to other parts of the body, such as the bones or distant lymph nodes."
aggressive,"In medicine, describes a tumor or disease that forms, grows, or spreads quickly.","In medicine, describes a tumor or disease that forms, grows, or spreads quickly. It may also describe treatment that is more severe or intense than usual."
AJCC staging system,"A system to describe the amount and spread of cancer in a patient’s body, using TNM. T describes the size of the tumor and any spread of cancer into nearby tissue; N describes spread of cancer to nearby lymph nodes; and M describes metastasis (spread of cancer to other parts of the body). This system was created and is updated by the American Joint Committee on Cancer (AJCC) and the International Union Against Cancer (UICC). The AJCC staging system is used to describe most types of cancer. Also called TNM staging system.","A system to describe the amount and spread of cancer in a patient’s body, using TNM. T describes the size of the tumor and any spread of cancer into nearby tissue; N describes spread of cancer to nearby lymph nodes; and M describes metastasis (spread of cancer to other parts of the body). This system was created and is updated by the American Joint Committee on Cancer (AJCC) and the International Union Against Cancer (UICC). The AJCC staging system is used to describe most types of cancer. Also called TNM staging system."
allergic response,A hypersensitive immune reaction to a substance that normally is harmless or would not cause an immune response in most people. An allergic response may cause harmful symptoms such as itching or inflammation or tissue injury.,A hypersensitive immune reaction to a substance that normally is harmless or would not cause an immune response in most people. An allergic response may cause harmful symptoms such as itching or inflammation or tissue injury.
