Original terms,NIH cancer institue,NIH cancer institue,National library of medicine,,,,,
external beam radiation therapy (EBRT),external beam radiation therapy,A type of radiation therapy that uses a machine to aim high-energy rays at the cancer from outside of the body. Also called external radiation therapy.,,,,,,
External beam radiation therapy (EBRT),external beam radiation therapy,A type of radiation therapy that uses a machine to aim high-energy rays at the cancer from outside of the body. Also called external radiation therapy.,,,,,,
extrafascial hysterectomy,simple hysterectomy,Surgery to remove the uterus and the cervix. The ovaries and fallopian tubes may also be removed. A simple hysterectomy may be done through the vagina (with no incisions in the abdomen) or through an incision (cut) in the abdomen. Also called complete hysterectomy and total hysterectomy.,,,,,,
Extramedullary,,,,,,,,
Familial adenomatous polyposis (FAP),familial adenomatous polyposis,"An inherited disorder in which many polyps (usually hundreds to thousands) form on the inner walls of the colon and rectum. Polyps are abnormal growths that may become cancer if they are not removed. People with familial adenomatous polyposis have a very high risk of developing colorectal cancer at an early age and are also at risk of developing cancers of the stomach, small intestine, pancreas, bile duct, liver, adrenal gland, thyroid, and brain. They may also have dental and eye problems and benign (not cancer) tumors in the stomach, small intestine, bone, soft tissue, skin, and adrenal glands. Familial adenomatous polyposis is caused by mutations (changes) in a gene called APC that are inherited in an autosomal dominant manner. It is a type of hereditary cancer syndrome. Also called classic familial adenomatous polyposis, classic familial polyposis, classic FAP, and FAP.",,,,,,
FDG,18F-fludeoxyglucose,"A radioactive form of glucose used in positron emission tomography (PET) imaging. 18F-fludeoxyglucose gets taken up by cells in the body, and a PET scanner is used to find which cells in the body have taken it up. Since more 18F-fludeoxyglucose is taken up by abnormal cells, including cancer cells, than by normal cells, it can be used to find cancer cells in the body and to diagnose cancer and other conditions. Also called fluorine F 18-fludeoxyglucose.",,,,,,
Fine-Needle Aspiration (FNA),fine-needle aspiration biopsy,"The removal of fluid, cells, or tissue with a thin needle for examination under a microscope. Also called FNA biopsy.",,,,,,
fine-needle aspiration (FNA) biopsy,fine-needle aspiration biopsy,"The removal of fluid, cells, or tissue with a thin needle for examination under a microscope. Also called FNA biopsy.",,,,,,
first-line or front-line therapy,first-line therapy,"The first treatment given for a disease. It is often part of a standard set of treatments, such as surgery followed by chemotherapy and radiation. When used by itself, first-line therapy is the one accepted as the best treatment. If it doesn’t cure the disease or it causes severe side effects, other treatment may be added or used instead. Also called induction therapy, primary therapy, and primary treatment.",,,,,,
flow cytometry (FCM),flow cytometry,"A laboratory method that measures the number of cells, the percentage of live cells, and certain characteristics of cells, such as size and shape, in a sample of blood, bone marrow, or other tissue. The presence of tumor markers, such as antigens, on the surface of the cells are also measured. The cells are stained with a light-sensitive dye, placed in a fluid, and then passed one at a time through a beam of light. The measurements are based on how the stained cells react to the beam of light. Flow cytometry is used in basic research and to help diagnose and manage certain diseases, including cancer.",,,,,,
fluorescence in situ hybridization (FISH),fluorescence in situ hybridization,"A laboratory method used to look at genes or chromosomes in cells and tissues. Pieces of DNA that contain a fluorescent dye are made in the laboratory and added to a cell or tissue sample. When these pieces of DNA bind to certain genes or areas on chromosomes in the sample, they light up when viewed under a microscope with a special light. FISH can be used to identify where a specific gene is located on a chromosome, how many copies of the gene are present, and any chromosomal abnormalities. It is used to help diagnose diseases, such as cancer, and help plan treatment. Also called FISH.",,,,,,
follow-up tests,,,,,,,,
four-dimensional computed tomography (4D-CT),,,,,,,,
gas diffusion,,,,,,,,
gastrointestinal (GI) tract,gastrointestinal tract,"The organs that food and liquids travel through when they are swallowed, digested, absorbed, and leave the body as feces. These organs include the mouth, pharynx (throat), esophagus, stomach, small intestine, large intestine, rectum, and anus. The gastrointestinal tract is part of the digestive system. Also called alimentary tract and digestive tract.",,,,,,
Gene,gene,"The functional and physical unit of heredity passed from parent to offspring. Genes are pieces of DNA, and most genes contain the information for making a specific protein.",,,,,,
gene rearrangement,,,,,,,,
genes,gene,"The functional and physical unit of heredity passed from parent to offspring. Genes are pieces of DNA, and most genes contain the information for making a specific protein.",,,,,,
genetic assessment,genetic testing,"A laboratory method that looks for changes in genes, gene expression, or chromosomes in a person’s cells or tissues. Genetic testing may be done to look for inherited changes in a person's genes that may be a sign that the person has an increased risk of developing a specific disease or condition or of having a child or other family member with the disease or condition. This type of genetic testing is called germline testing. Genetic testing is also done on tumor tissue to look for genetic changes in the cancer cells. These changes occur during a person’s lifetime and are not inherited from a parent. This type of genetic testing, called somatic testing, is done to learn more about the cancer, plan treatment, or find out how well treatment is working.",,,,,,
genetic mutation,mutation,"Any change in the DNA sequence of a cell. Mutations may be caused by mistakes during cell division, or they may be caused by exposure to DNA-damaging agents in the environment. Mutations can be harmful, beneficial, or have no effect. If they occur in cells that make eggs or sperm, they can be inherited; if mutations occur in other types of cells, they are not inherited. Certain mutations may lead to cancer or other diseases. A mutation is sometimes called a variant.",,,,,,
Genetic mutation,mutation,"Any change in the DNA sequence of a cell. Mutations may be caused by mistakes during cell division, or they may be caused by exposure to DNA-damaging agents in the environment. Mutations can be harmful, beneficial, or have no effect. If they occur in cells that make eggs or sperm, they can be inherited; if mutations occur in other types of cells, they are not inherited. Certain mutations may lead to cancer or other diseases. A mutation is sometimes called a variant.",,,,,,
H. pylori (Helicobacter pylori),,,,,,,,
Hematologist,hematologist,A doctor who has special training in diagnosing and treating blood disorders.,,,,,,
hematopathologist,,,,,,,,
Hematopathologist,,,,,,,,
hematopoietic cell transplant (HCT),stem cell transplant,"A procedure in which a patient receives healthy stem cells (blood-forming cells) to replace their own stem cells that have been destroyed by treatment with radiation or high doses of chemotherapy. The healthy stem cells may come from the blood or bone marrow of the patient or from a related or unrelated donor. A stem cell transplant may be autologous (using a patient’s own stem cells that were collected and saved before treatment), allogeneic (using stem cells from a related or unrelated donor), syngeneic (using stem cells donated by an identical twin), or cord blood (using umbilical cord blood donated after a baby is born).",,,,,,
Hematopoietic cell transplant (HCT),stem cell transplant,"A procedure in which a patient receives healthy stem cells (blood-forming cells) to replace their own stem cells that have been destroyed by treatment with radiation or high doses of chemotherapy. The healthy stem cells may come from the blood or bone marrow of the patient or from a related or unrelated donor. A stem cell transplant may be autologous (using a patient’s own stem cells that were collected and saved before treatment), allogeneic (using stem cells from a related or unrelated donor), syngeneic (using stem cells donated by an identical twin), or cord blood (using umbilical cord blood donated after a baby is born).",,,,,,
Hormone Receptor-Positive Cancer (HR+),,,,,,,,
Hormone therapy,hormone therapy,"Treatment that adds, blocks, or removes hormones. For certain conditions (such as diabetes or menopause), hormones are given to adjust low hormone levels. Hormones can also cause certain cancers (such as prostate and breast cancer) to grow. To slow or stop the growth of cancer, synthetic hormones or other drugs may be given to block the body’s natural hormones, or surgery is used to remove the gland that makes a certain hormone. Also called endocrine therapy, hormonal therapy, and hormone treatment.",,,,,,
human leukocyte antigen (HLA),human leukocyte antigen,"A type of molecule found on the surface of most cells in the body. Human leukocyte antigens play an important part in the body's immune response to foreign substances. They make up a person’s tissue type, which varies from person to person. Human leukocyte antigen tests are done before a donor stem cell or organ transplant, to find out if tissues match between the donor and the person receiving the transplant. Also called HLA and human lymphocyte antigen.",,,,,,
Human leukocyte antigen (HLA),human leukocyte antigen,"A type of molecule found on the surface of most cells in the body. Human leukocyte antigens play an important part in the body's immune response to foreign substances. They make up a person’s tissue type, which varies from person to person. Human leukocyte antigen tests are done before a donor stem cell or organ transplant, to find out if tissues match between the donor and the person receiving the transplant. Also called HLA and human lymphocyte antigen.",,,,,,
human papillomavirus (HPV),human papillomavirus,"A group of more than 200 common viruses. Some human papillomavirus types, called cutaneous human papillomaviruses, are transmitted by casual contact and can infect the skin and cause common skin warts. Other human papillomavirus types, known as mucosal human papillomaviruses, can infect the moist surfaces or inner lining of some organs and body cavities, such as the cervix, vagina, vulva, penis, anus, mouth, and throat. Infection with some mucosal human papillomavirus types (collectively known as low-risk human papillomavirus) can cause warts in or around the genitals, anus, mouth, and respiratory tract but rarely cause cancer. Long-lasting infection with other mucosal human papillomavirus types (collectively known as high-risk human papillomavirus) can cause cell changes that become cancer over time if not found and removed. Human papillomavirus-related cancers include cancers of the cervix, anus, oropharynx, vagina, vulva, and penis. Mucosal human papillomavirus types are transmitted through intimate skin-to-skin contact, most often during vaginal, anal, or oral sex. Also called HPV.",,,,,,
ileal conduit,,,,,,,,
immune effector cell-associated hemophagocytic lymphohistiocytosis-like syndrome (IEC-HS),,,,,,,,
immune effector cell-associated neurotoxicity syndrome (ICANS),,,,,,,,
immunohistochemistry (IHC),immunohistochemistry,"A laboratory method that uses antibodies to check for certain antigens (markers) in a sample of tissue. The antibodies are usually linked to an enzyme or a fluorescent dye. After the antibodies bind to the antigen in the tissue sample, the enzyme or dye is activated, and the antigen can then be seen under a microscope. Immunohistochemistry is used to help diagnose diseases, such as cancer. It may also be used to help tell the difference between different types of cancer.",,,,,,
Immunotherapy,immunotherapy,"A type of therapy that uses substances to stimulate or suppress the immune system to help the body fight cancer, infection, and other diseases. Some types of immunotherapy only target certain cells of the immune system. Others affect the immune system in a general way. Types of immunotherapy include cytokines, vaccines, bacillus Calmette-Guerin (BCG), and some monoclonal antibodies.",,,,,,
in vitro fertilization (IVF),in vitro fertilization,A procedure in which eggs are removed from a woman’s ovary and combined with sperm outside the body to form embryos. The embryos are grown in the laboratory for several days and then either placed in a woman’s uterus or cryopreserved (frozen) for future use. Also called IVF.,,,,,,
induction,induction therapy,"The first treatment given for a disease. It is often part of a standard set of treatments, such as surgery followed by chemotherapy and radiation. When used by itself, induction therapy is the one accepted as the best treatment. If it doesn’t cure the disease or it causes severe side effects, other treatment may be added or used instead. Also called first-line therapy, primary therapy, and primary treatment.",,,,,,
Induction,induction therapy,"The first treatment given for a disease. It is often part of a standard set of treatments, such as surgery followed by chemotherapy and radiation. When used by itself, induction therapy is the one accepted as the best treatment. If it doesn’t cure the disease or it causes severe side effects, other treatment may be added or used instead. Also called first-line therapy, primary therapy, and primary treatment.",,,,,,
Infusion,infusion,"A method of putting fluids, including drugs, into the bloodstream. Also called intravenous infusion.",,,,,,
inherited mutation,germline mutation,A gene change in a body's reproductive cell (egg or sperm) that becomes incorporated into the DNA of every cell in the body of the offspring. Germline mutations are passed on from parents to offspring. Also called germline variant.,,,,,,
intensity-modulated radiation therapy (IMRT),intensity-modulated radiation therapy,A type of 3-dimensional radiation therapy that uses computer-generated images to show the size and shape of the tumor. Thin beams of radiation of different intensities are aimed at the tumor from many angles. This type of radiation therapy reduces the damage to healthy tissue near the tumor. Also called IMRT.,,,,,,
Interventional oncology/radiology,,,,,,,,
in-transit metastases,in-transit metastasis,A type of metastasis in which skin cancer spreads through a lymph vessel and begins to grow more than 2 centimeters away from the primary tumor but before it reaches the nearest lymph node.,,,,,,
intravenous immunoglobulin (IVIG),intravenous immunoglobulin,"A substance made from antibodies that have been taken from the blood of many healthy donors. It is given to a patient through a needle or tube inserted into a vein. Intravenous immunoglobulins are used to treat certain types of immune disorders in which there are low amounts of antibodies in the blood. They are also used to treat many different autoimmune disorders, infections, or other conditions. They may also be used to help prevent infections in patients who have had a stem cell or organ transplant. Intravenous immunoglobulins are a type of immunotherapy. Also called IVIG.",,,,,,
intravesical therapy,intravesical chemotherapy,"Treatment in which anticancer drugs are put directly into the bladder through a thin, flexible tube inserted into the urethra (the tube through which urine leaves the body from the bladder). Intravesical chemotherapy may be used to treat some types of early-stage bladder cancer.",,,,,,
invasion,invasive cancer,"Cancer that has spread beyond the layer of tissue in which it developed and is growing into surrounding, healthy tissues. Also called infiltrating cancer.",,,,,,
Invasive breast cancer,invasive breast cancer,"Cancer that has spread from where it began in the breast to surrounding normal tissue. The most common type of invasive breast cancer is invasive ductal carcinoma, which begins in the lining of the milk ducts (thin tubes that carry milk from the lobules of the breast to the nipple). Another type is invasive lobular carcinoma, which begins in the lobules (milk glands) of the breast. Invasive breast cancer can spread through the blood and lymph systems to other parts of the body. Also called infiltrating breast cancer.",,,,,,
involved-site radiation therapy (ISRT),radiation therapy,"The use of high-energy radiation from x-rays, gamma rays, neutrons, protons, and other sources to kill cancer cells and shrink tumors. Radiation may come from a machine outside the body (external-beam radiation therapy), or it may come from radioactive material placed in the body near cancer cells (internal radiation therapy or brachytherapy). Systemic radiation therapy uses a radioactive substance, such as a radiolabeled monoclonal antibody, that travels in the blood to tissues throughout the body. Also called irradiation and radiotherapy.",,,,,,
karyotype,karyotyping,"A type of genetic test that analyzes the size, shape, and number of chromosomes in a sample of cells taken from blood, amniotic fluid, bone marrow, or other tissue. Changes in the number or structure of chromosomes may be a sign of a birth defect or genetic disease or condition, such as Down syndrome, Klinefelter syndrome, or Turner syndrome. Karyotyping may also be used to help diagnose certain types of cancer, such as leukemia, lymphoma, or myeloma, and/or help plan treatment.",,,,,,
lactate dehydrogenase (LDH),lactate dehydrogenase,One of a group of enzymes found in the blood and other body tissues and involved in energy production in cells. An increased amount of lactate dehydrogenase in the blood may be a sign of tissue damage and some types of cancer or other diseases. Also called lactic acid dehydrogenase and LDH.,,,,,,
Large intestine (bowel),large intestine,"The long, tube-like organ that is connected to the small intestine at one end and the anus at the other. The large intestine has four parts: cecum, colon, rectum, and anal canal. Partly digested food moves through the cecum into the colon, where water and some nutrients and electrolytes are removed. The remaining material, solid waste called stool, moves through the colon, is stored in the rectum, and leaves the body through the anal canal and anus.",,,,,,
large-cell lung carcinoma,large cell carcinoma,Lung cancer in which the cells are large and look abnormal when viewed under a microscope.,,,,,,
Life expectancy,,,,,,,,
Liver function test (LFT),liver function test,A blood test to measure the blood levels of certain substances released by the liver. A high or low level of certain substances can be a sign of liver disease.,,,,,,
low-dose computed tomography (LDCT),low-dose computed tomography,A procedure that uses a computer linked to an x-ray machine that gives off a very low dose of radiation to make a series of detailed pictures of areas inside the body. The pictures are taken from different angles and are used to create 3-D views of tissues and organs. Low-dose computed tomography is recommended as a screening test for adults who have a high risk of developing lung cancer based on their age and smoking history. Also called LDCT and low-dose CT scan.,,,,,,
Lumpectomy,lumpectomy,"Surgery to remove cancer or other abnormal tissue from the breast and some normal tissue around it, but not the breast itself. Some lymph nodes under the arm may be removed for biopsy. Part of the chest wall lining may also be removed if the cancer is near it. Also called breast-conserving surgery, breast-sparing surgery, partial mastectomy, quadrantectomy, and segmental mastectomy.",,,,,,
Luteinizing hormone-releasing hormone (LHRH) agonist,LHRH agonist,"A substance that keeps the testicles and ovaries from making sex hormones by blocking other hormones that are needed to make them. In men, LHRH agonists cause the testicles to stop making testosterone. In women, they cause the ovaries to stop making estrogen and progesterone. Some LHRH agonists are used to treat prostate cancer. Also called GnRH agonist, GnRHa, gonadotropin-releasing hormone agonist, and luteinizing hormone-releasing hormone agonist.",,,,,,
Lymph node,lymph node,More Information,,,,,,
lymph node basin,lymphatic basin,"A group of lymph nodes that receives and filters lymph that flows from a certain area of the body. Special dyes may be used to stain and identify the lymphatic basin in the tissues around a tumor, so that lymph nodes that may contain cancer can be removed and checked by a pathologist.",,,,,,
Lymph nodes,lymph node,"A small bean-shaped structure that is part of the body’s immune system. Lymph nodes filter substances that travel through the lymphatic fluid, and they contain lymphocytes (white blood cells) that help the body fight infection and disease. There are hundreds of lymph nodes found throughout the body. They are connected to one another by lymph vessels. Clusters of lymph nodes are found in the neck, axilla (underarm), chest, abdomen, and groin. For example, there are about 20-40 lymph nodes in the axilla. Also called lymph gland.",,,,,,
lymph nodes,lymph node,"A small bean-shaped structure that is part of the body’s immune system. Lymph nodes filter substances that travel through the lymphatic fluid, and they contain lymphocytes (white blood cells) that help the body fight infection and disease. There are hundreds of lymph nodes found throughout the body. They are connected to one another by lymph vessels. Clusters of lymph nodes are found in the neck, axilla (underarm), chest, abdomen, and groin. For example, there are about 20-40 lymph nodes in the axilla. Also called lymph gland.",,,,,,
lymph vessels,lymph vessel,"A thin tube that collects lymph (clear watery fluid) from tissues in different parts of the body and returns it to the bloodstream. Lymph vessels branch, like blood vessels, throughout the body. They vary in size but are typically larger than blood capillaries and smaller than most veins. Also called lymphatic vessel.",,,,,,
Lymphadenectomy,lymphadenectomy,"A surgical procedure in which the lymph nodes are removed and a sample of tissue is checked under a microscope for signs of cancer. For a regional lymphadenectomy, some of the lymph nodes in the tumor area are removed; for a radical lymphadenectomy, most or all of the lymph nodes in the tumor area are removed. Also called lymph node dissection.",,,,,,
Lymphatic system,lymphatic system,"The tissues and organs that help the body fight infection and disease. The lymphatic system includes the lymph nodes, lymph vessels (thin tubes that carry lymph and white blood cells), bone marrow, spleen, thymus, tonsils and adenoids, and lymph tissue in the small intestine and other parts of the body. The lymphatic system is an important part of the body's immune system. It also plays an important role in maintaining healthy fluid levels in the body, removing cellular debris and harmful substances from the tissues, and helping the body absorb certain fats and other molecules. Also called lymph system.",,,,,,
lymphovascular space invasion (LVSI),,,,,,,,
magnetic resonance imaging (MRI),magnetic resonance imaging,"A procedure that uses radio waves, a powerful magnet, and a computer to make a series of detailed pictures of areas inside the body. A contrast agent, such as gadolinium, may be injected into a vein to help the tissues and organs show up more clearly in the picture. Magnetic resonance imaging may be used to help diagnose disease, plan treatment, or find out how well treatment is working. It is especially useful for imaging the brain and spinal cord, the heart and blood vessels, the bones, joints, and other soft tissues, the organs in the pelvis and abdomen, and the breast. Also called MRI, NMRI, and nuclear magnetic resonance imaging.",,,,,,
maintenance,maintenance therapy,"Treatment that is given to help keep cancer from coming back after it has disappeared following the initial therapy. It may include treatment with drugs, vaccines, or antibodies that kill cancer cells, and it may be given for a long time.",,,,,,
Maintenance,maintenance therapy,"Treatment that is given to help keep cancer from coming back after it has disappeared following the initial therapy. It may include treatment with drugs, vaccines, or antibodies that kill cancer cells, and it may be given for a long time.",,,,,,
Mammogram,mammogram,An x-ray of the breast.,,,,,,
Mastectomy,mastectomy,Surgery to remove part or all of the breast. There are different types of mastectomy that differ in the amount of tissue and lymph nodes removed.,,,,,,
Metastasectomy,metastasectomy,"Surgery to remove one or more metastases (tumors formed from cells that have spread from the primary tumor). When all metastases are removed, it is called a complete metastasectomy.",,,,,,
Metastasis,metastasis,"The spread of cancer cells from the place where they first formed to another part of the body. In metastasis, cancer cells break away from the original (primary) tumor, travel through the blood or lymph system, and form a new tumor in other organs or tissues of the body. The new, metastatic tumor is the same type of cancer as the primary tumor. For example, if breast cancer spreads to the lung, the cancer cells in the lung are breast cancer cells, not lung cancer cells.",,,,,,
Metastatic prostate cancer,,,,,,,,
microsatellites,microsatellite,"A short sequence of DNA, usually 1 to 4 basepairs (a unit of DNA), that is repeated together in a row along the DNA molecule. There is variation from person to person in the number of repeats. There are hundreds of places in human DNA that contain microsatellites.",,,,,,
Minimal residual disease (MRD),minimal residual disease,"A term used to describe a very small number of cancer cells that remain in the body during or after treatment. Minimal residual disease can be found only by highly sensitive laboratory methods that are able to find one cancer cell among one million normal cells. Checking to see if there is minimal residual disease may help plan treatment, find out how well treatment is working or if cancer has come back, or make a prognosis. Minimal residual disease testing is used mostly for blood cancers such as lymphoma and leukemia. Also called measurable residual disease and MRD.",,,,,,
Mismatch repair deficiency (dMMR)/high microsatellite instability (MSI-H),mismatch repair deficiency,,,,,,,
Mismatch repair proficient (pMMR)/microsatellite stable (MSS),mismatch repair deficiency,"Describes cells that have mutations (changes) in certain genes that are involved in correcting mistakes made when DNA is copied in a cell. Mismatch repair (MMR) deficient cells usually have many DNA mutations, which may lead to cancer. MMR deficiency is most common in colorectal cancer, other types of gastrointestinal cancer, and endometrial cancer, but it may also be found in cancers of the breast, prostate, bladder, and thyroid and in an inherited disorder called Lynch syndrome. Knowing if a tumor is MMR deficient may help plan treatment or predict how well the tumor will respond to treatment. Also called deficient DNA mismatch repair, deficient mismatch repair, dMMR, and MMR deficiency.",,,,,,
monitoring,monitor,"In medicine, to regularly watch and check a person or condition to see if there is any change. Also refers to a device that records and/or displays patient data, such as for an electrocardiogram (EKG).",,,,,,
MRI scan,MRI,"A procedure that uses radio waves, a powerful magnet, and a computer to make a series of detailed pictures of areas inside the body. A contrast agent, such as gadolinium, may be injected into a vein to help the tissues and organs show up more clearly in the picture. MRI may be used to help diagnose disease, plan treatment, or find out how well treatment is working. It is especially useful for imaging the brain and spinal cord, the heart and blood vessels, the bones, joints, and other soft tissues, the organs in the pelvis and abdomen, and the breast. Also called magnetic resonance imaging, NMRI, and nuclear magnetic resonance imaging.",,,,,,
multiple endocrine neoplasia (MEN),multiple endocrine neoplasia syndrome,"An inherited condition that may result in the development of cancers of the endocrine system. There are several types of multiple endocrine neoplasia syndrome, and patients with each type may develop different types of cancer. The altered genes that cause each type can be detected with a blood test. Also called MEN syndrome.",,,,,,
muscle-invasive,,,,,,,,
Myelosuppression,myelosuppression,"A condition in which bone marrow activity is decreased, resulting in fewer red blood cells, white blood cells, and platelets. Myelosuppression is a side effect of some cancer treatments. When myelosuppression is severe, it is called myeloablation.",,,,,,
navigational bronchoscopy,,,,,,,,
NCCN,NCCN,"The National Comprehensive Cancer Network® (NCCN®) is a not-for-profit alliance of 33 leading cancer centers devoted to patient care, research, and education. NCCN is dedicated to improving and facilitating quality, effective, equitable, and accessible cancer care so all patients can live better lives. Through the leadership and expertise of clinical professionals at NCCN Member Institutions, NCCN develops resources that present valuable information to the numerous stakeholders in the health care delivery system. By defining and advancing high-quality cancer care, NCCN promotes the importance of continuous quality improvement and recognizes the significance of creating clinical practice guidelines appropriate for use by patients, clinicians, and other health care decision-makers around the world.",,,,,,
neoadjuvant treatment,neoadjuvant therapy,"Treatment given as a first step to shrink a tumor before the main treatment, which is usually surgery, is given. Examples of neoadjuvant therapy include chemotherapy, radiation therapy, and hormone therapy. It is a type of induction therapy.",,,,,,
neobladder,,,,,,,,
neuroendocrine carcinoma of the cervix (NECC),neuroendocrine tumor,"A tumor that forms from cells that release hormones into the blood in response to a signal from the nervous system. Neuroendocrine tumors may make higher-than-normal amounts of hormones, which can cause many different symptoms. These tumors may be benign (not cancer) or malignant (cancer). Some examples of neuroendocrine tumors are carcinoid tumors, islet cell tumors, medullary thyroid cancer, pheochromocytomas, neuroendocrine carcinoma of the skin (Merkel cell cancer), small cell lung cancer, and large cell neuroendocrine carcinoma (a rare type of lung cancer).",,,,,,
neuroendocrine cells,neuroendocrine,Having to do with the interactions between the nervous system and the endocrine system. Neuroendocrine describes certain cells that release hormones into the blood in response to stimulation of the nervous system.,,,,,,
neuroendocrine tumor (NET),neuroendocrine tumor,"A tumor that forms from cells that release hormones into the blood in response to a signal from the nervous system. Neuroendocrine tumors may make higher-than-normal amounts of hormones, which can cause many different symptoms. These tumors may be benign (not cancer) or malignant (cancer). Some examples of neuroendocrine tumors are carcinoid tumors, islet cell tumors, medullary thyroid cancer, pheochromocytomas, neuroendocrine carcinoma of the skin (Merkel cell cancer), small cell lung cancer, and large cell neuroendocrine carcinoma (a rare type of lung cancer).",,,,,,
Neutrophil,neutrophil,"A type of white blood cell that is an important part of the immune system and helps the body fight infection. When microorganisms, such as bacteria or viruses, enter the body, neutrophils are one of the first immune cells to respond. They travel to the site of infection, where they destroy the microorganisms by ingesting them and releasing enzymes that kill them. Neutrophils also boost the response of other immune cells. A neutrophil is a type of granulocyte and a type of phagocyte.",,,,,,
non–muscle-invasive,,,,,,,,
non-small cell lung cancer (NSCLC),non-small cell lung cancer,"A group of lung cancers named for the kinds of cells found in the cancer and how the cells look under a microscope. The three main types of non-small cell lung cancer are adenocarcinoma (most common), squamous cell carcinoma, and large cell carcinoma. Non-small cell lung cancer is the most common of the two main types of lung cancer (non-small cell lung cancer and small cell lung cancer).",,,,,,
non-solid nodule,,,,,,,,
NOS,,,,,,,,
Observation,observation,"In medicine, watching a patient’s condition but not giving treatment unless symptoms appear or change.",,,,,,
oncofertility,,,,,,,,
Oncologist,oncologist,"A doctor who has special training in diagnosing and treating cancer. Some oncologists specialize in a particular type of cancer treatment. For example, a radiation oncologist specializes in treating cancer with radiation.",,,,,,
oocyte preservation,oocyte cryopreservation,"The process of freezing one or more unfertilized eggs (eggs that have not been combined with sperm) to save them for future use. The eggs are thawed and fertilized in the laboratory to make embryos that can be placed in a woman’s uterus. Oocyte cryopreservation is being studied as a type of fertility preservation. It may be useful for women with cancer who want to have children after having radiation therapy, chemotherapy, or certain types of surgery, which can cause infertility. Also called egg banking, egg cryopreservation, and egg freezing.",,,,,,
Orchiectomy,orchiectomy,Surgery to remove one or both testicles. Also called orchidectomy.,,,,,,
osmotic therapy,,,,,,,,
Palliative care,palliative care,"Care given to improve the quality of life and help reduce pain in people who have a serious or life-threatening disease, such as cancer. The goal of palliative care is to prevent or treat, as early as possible, the symptoms of the disease and the side effects caused by treatment of the disease. It also attends to the psychological, social, and spiritual problems caused by the disease or its treatment. For cancer, palliative care may include therapies, such as surgery, radiation therapy, or chemotherapy, to remove, shrink, or slow the growth of a tumor that is causing pain. It may also include family and caregiver support. Palliative care may be given with other treatments from the time of diagnosis until the end of life.",,,,,,
Palliative therapy,palliative therapy,"Treatment given to help relieve the symptoms and reduce the suffering caused by cancer or other life-threatening diseases. Palliative therapy may help a person feel more comfortable, but it does not treat or cure the disease. For example, surgery, radiation therapy, or chemotherapy may be given to remove, shrink, or slow the growth of a tumor that is causing pain. Palliative therapy may be given with other treatments from the time of diagnosis until the end of life.",,,,,,
partial response (PR),partial response,"A decrease in the size of a tumor, or in the extent of cancer in the body, in response to treatment. Also called partial remission.",,,,,,
part-solid nodule,,,,,,,,
pathologic stage,pathological staging,A method used to find out the stage of cancer (amount or spread of cancer in the body) by removing tissue samples during surgery or a biopsy. The pathological stage is based on how different from normal the cells in the samples look under a microscope.,,,,,,
Pathologist,pathologist,A doctor who has special training in identifying diseases by studying cells and tissues under a microscope.,,,,,,
Pelvic lymph node dissection (PLND),,,,,,,,
peptide receptor radionuclide therapy (PRRT),peptide receptor radionuclide therapy,"A type of radiation therapy used to treat certain types of neuroendocrine tumors. A radioactive chemical is linked to a peptide (small protein) that targets cancer cells. When this radioactive peptide is injected into the body, it binds to a specific receptor found on some cancer cells. The radioactive peptide builds up in these cells and helps kill the cancer cells without harming normal cells. Peptide receptor radionuclide therapy is a type of targeted therapy. Also called PRRT.",,,,,,
pericardiocentesis,,,,,,,,
peripheral blood (PB),peripheral blood,Blood circulating throughout the body.,,,,,,
physical exam,physical examination,An exam of the body to check for general signs of disease.,,,,,,
platelet (PLT),platelet,"A tiny, disc-shaped piece of cell that is found in the blood and spleen. Platelets are pieces of very large cells in the bone marrow called megakaryocytes. They help form blood clots to slow or stop bleeding and to help wounds heal. Having too many or too few platelets or having platelets that don’t work as they should can cause problems. Checking the number of platelets in the blood may help diagnose certain diseases or conditions. Also called thrombocyte.",,,,,,
Platelet (PLT),platelet,"A tiny, disc-shaped piece of cell that is found in the blood and spleen. Platelets are pieces of very large cells in the bone marrow called megakaryocytes. They help form blood clots to slow or stop bleeding and to help wounds heal. Having too many or too few platelets or having platelets that don’t work as they should can cause problems. Checking the number of platelets in the blood may help diagnose certain diseases or conditions. Also called thrombocyte.",,,,,,
platinum-based chemotherapy,,,,,,,,
platinum-doublet chemotherapy,,,,,,,,
POLE/POLD1 mutation,,,,,,,,
polymerase chain reaction (PCR),polymerase chain reaction,"A laboratory method used to make many copies of a specific piece of DNA from a sample that contains very tiny amounts of that DNA. Polymerase chain reaction allows these pieces of DNA to be amplified so they can be detected. Polymerase chain reaction may be used to look for certain changes in a gene or chromosome, which may help find and diagnose a genetic condition or a disease, such as cancer. It may also be used to look at pieces of the DNA of certain bacteria, viruses, or other microorganisms to help diagnose an infection. Also called PCR.",,,,,,
Polymerase chain reaction (PCR),polymerase chain reaction,"A laboratory method used to make many copies of a specific piece of DNA from a sample that contains very tiny amounts of that DNA. Polymerase chain reaction allows these pieces of DNA to be amplified so they can be detected. Polymerase chain reaction may be used to look for certain changes in a gene or chromosome, which may help find and diagnose a genetic condition or a disease, such as cancer. It may also be used to look at pieces of the DNA of certain bacteria, viruses, or other microorganisms to help diagnose an infection. Also called PCR.",,,,,,
