term,formal_definition,simplified_explanation,formal_fk_grade,formal_flesch_ease,formal_smog,formal_gunning_fog,formal_dale_chall,formal_text_standard,formal_word_count,formal_avg_word_length,formal_avg_syllables_per_word,formal_type_token_ratio,formal_long_word_percentage,simplified_fk_grade,simplified_flesch_ease,simplified_smog,simplified_gunning_fog,simplified_dale_chall,simplified_text_standard,simplified_word_count,simplified_avg_word_length,simplified_avg_syllables_per_word,simplified_type_token_ratio,simplified_long_word_percentage,improvement_fk_grade,improvement_flesch_ease,improvement_smog,improvement_gunning_fog,improvement_dale_chall,improvement_word_length,improvement_syllables,improvement_long_word_percentage,easy_definition
carcinoid tumor,"carcinoid tumor is A slow-growing type of tumor usually found in the gastrointestinal system (most often in the small intestine and rectum), and sometimes in the lungs or other sites. Carcinoid tumors may spread to the liver or other sites in the body, and they may secrete substances such as serotonin or prostaglandins, causing carcinoid syndrome.","Okay! Here's my attempt to explain ""carcinoid tumor"" in simple language:

A carcinoid tumor is like a mischievous little monster that grows in your body. It usually starts in the digestive system, like the small intestine or rectum, and sometimes moves to other parts of the body like the lungs or liver. This bad boy can cause problems by secreting special chemicals into your bloodstream, which can lead to some pretty weird symptoms like flushing, diarrhea, and even trouble breathing. It's important to catch these tumors early so we can treat them before they get too big and cause more trouble. Think of it like a tiny monster that needs to be tamed!</s>",15.0,35.61,0.0,15.99,10.24,14th and 15th grade,61,4.590163934426229,1.4918032786885247,0.7049180327868853,14.754098360655737,9.4,66.27,10.4,11.29,8.77,8th and 9th grade,128,4.0703125,1.2265625,0.703125,6.25,5.6,30.659999999999997,-10.4,4.700000000000001,1.4700000000000006,0.5198514344262293,0.2652407786885247,8.504098360655737,"A neuroendocrine tumor found most commonly in the gastrointestinal tract, lungs, bronchi, thymus, and other areas in the body. It may secrete the hormone serotonin and other chemicals."
colon,"colon is The longest part of the large intestine (a tube-like organ connected to the small intestine at one end and the anus at the other). The colon removes water and some nutrients and electrolytes from partially digested food. The remaining material, solid waste called stool, moves through the colon, is stored in the rectum, and leaves the body through the anus. The colon is part of the digestive system.","Okay! Here's my attempt at explaining the term ""colon"" in simple language:

The colon is like a long, hollow tube that connects your small intestine to your anus. It helps remove extra water and some nutrients from the food you eat before it leaves your body as poop. Think of it like a filter for your digestive system! The colon stores the leftover food waste in its storage area, called the rectum, until it's ready to come out through the anus. So, the colon plays a big role in getting rid of waste and keeping your digestive system running smoothly.</s>",8.5,63.19,12.2,12.05,9.24,9th and 10th grade,76,4.223684210526316,1.3157894736842106,0.618421052631579,13.157894736842104,8.4,68.91,9.9,10.18,8.7,8th and 9th grade,113,3.9026548672566372,1.176991150442478,0.6991150442477876,6.1946902654867255,0.09999999999999964,5.719999999999999,2.299999999999999,1.870000000000001,0.5400000000000009,0.3210293432696787,0.1387983232417327,6.963204471355379,"The longest part of the large intestine (a tube-like organ connected to the small intestine at one end and the anus at the other). The colon removes water and some nutrients and electrolytes from partially digested food. The remaining material, solid waste called stool, moves through the colon, is stored in the rectum, and leaves the body through the anus. The colon is part of the digestive system."
cortisol,"cortisol is A hormone made by the adrenal cortex (the outer layer of the adrenal gland). It helps the body use glucose (a sugar), protein, and fats. Cortisol made in the laboratory is called hydrocortisone. It is used to treat many conditions, including inflammation, allergies, and some cancers. Cortisol is a type of glucocorticoid hormone.","Sure! Here's my attempt to explain the term ""cortisol"" in simple language:

Cortisol is a special kind of hormone that helps your body use energy from food. Imagine your body is like a fireplace, and cortisol is the match that helps light the flames. When you eat food, your body uses cortisol to turn that food into usable energy for your muscles, brain, and other parts of your body. This helps you feel alert and energized, and it also helps your body fight off infections and injuries. Some people take cortisol medication when their own bodies don't make enough of it, or when they need extra help using energy from food.

I hope this explanation helps! Let me know if you have any questions.</s>",8.5,52.46,10.8,10.31,10.23,9th and 10th grade,66,4.0,1.3181818181818181,0.6212121212121212,13.636363636363635,7.6,71.14,10.6,9.49,7.13,7th and 8th grade,140,3.842857142857143,1.2,0.65,7.857142857142857,0.9000000000000004,18.68,0.20000000000000107,0.8200000000000003,3.1000000000000005,0.15714285714285703,0.11818181818181817,5.779220779220778,"A hormone that controls blood sugar, metabolism, and other functions in the body."
Cushing syndrome,"Cushing syndrome is A condition in which there is too much cortisol (a hormone made by the outer layer of the adrenal gland) in the body. Cushing syndrome may be caused by taking too many steroid drugs or by certain types of tumors. Tumors that make adrenocorticotropic hormone (ACTH) cause the adrenal gland to make too much cortisol. Symptoms of Cushing syndrome include a round face, thin arms and legs, severe fatigue and muscle weakness, high blood pressure, high blood sugar, purple or pink stretch marks on the skin, and weight gain, especially in the abdomen. Also called hypercortisolism.",Term 'Cushing syndrome' not found in medical dictionary.,9.4,61.06,10.8,10.45,9.31,10th and 11th grade,109,4.165137614678899,1.2477064220183487,0.6330275229357798,8.256880733944955,8.0,48.47,0.0,15.73,11.83,7th and 8th grade,8,4.25,1.375,1.0,25.0,1.4000000000000004,-12.590000000000003,10.8,-5.280000000000001,-2.5199999999999996,-0.08486238532110058,-0.1272935779816513,-16.743119266055047,A condition caused by the release of excess cortisol in the body.
duodenum,"duodenum is The first part of the small intestine. It connects to the stomach. The duodenum helps to further digest food coming from the stomach. It absorbs nutrients (vitamins, minerals, carbohydrates, fats, proteins) and water from food so they can be used by the body.","Sure, I'd be happy to help! Here's an explanation of the term ""duodenum"" that's easy to understand and relatable:

The duodenum is like a long, narrow tube that connects your stomach to your small intestine. Imagine your stomach as a big bucket that can hold lots of food, like a big meal. When you eat, your stomach breaks down the food into smaller pieces using special juices and enzymes. Then, the duodenum takes over and helps your body absorb all the good stuff - like vitamins, minerals, carbohydrates, fats, and proteins - so you can use them for energy or grow strong. Think of it like a sponge, soaking up all the important things your body needs. Pretty cool, right?</s>",6.3,68.97,9.5,8.97,8.58,8th and 9th grade,53,3.981132075471698,1.2075471698113207,0.6981132075471698,9.433962264150944,7.3,71.75,10.0,9.34,8.43,8th and 9th grade,144,3.7430555555555554,1.1041666666666667,0.6597222222222222,6.944444444444445,-1.0,2.780000000000001,-0.5,-0.3699999999999992,0.15000000000000036,0.23807651991614254,0.10338050314465397,2.4895178197064993,A part of the digestive tract that receives food from the stomach and mixes it with digestive juices.
endoscope,"endoscope is A thin, tube-like instrument used to look at tissues inside the body. An endoscope has a light and a lens for viewing and may have a tool to remove tissue.","Sure, I'd be happy to help! Here's an explanation of the term ""endoscope"" that's easy to understand and relatable to everyday life:

An endoscope is like a long, thin telescope that doctors use to look inside your body. It has a special light and lens that helps them see things they couldn't see otherwise. Sometimes, the endoscope also has tools on the end that can help them remove something from your body, like a tiny pair of scissors or a small vacuum cleaner. Just like how you might use a telescope to look at the stars or a magnifying glass to check out a bug up close, an endoscope lets doctors take a closer look at what's going on inside you.</s>",5.6,81.63,0.0,7.33,7.54,5th and 6th grade,33,3.606060606060606,1.1818181818181819,0.8181818181818182,3.0303030303030303,8.9,73.1,10.4,10.73,6.96,6th and 7th grade,137,3.6715328467153285,1.1313868613138687,0.656934306569343,5.839416058394161,-3.3000000000000007,-8.530000000000001,-10.4,-3.4000000000000004,0.5800000000000001,-0.06547224065472257,0.050431320504313204,-2.8091130280911303,A device that is passed through a natural opening to do work inside the body.
enucleation,"enucleation is In medicine, the removal of an organ or tumor in such a way that it comes out clean and whole, like a nut from its shell.","Sure, I'd be happy to help! Here's my explanation of ""enucleation"" in simple language:

Enucleation means removing something, like a tumor or an organ, in a special way so that it comes out complete and intact, like a nut coming out of its shell. It's like peeling off the shell to reveal the delicious nut inside. In medicine, doctors use this technique to remove things that are causing problems without damaging the surrounding tissue. For example, they might use enucleation to remove a cancerous tumor from a kidney without affecting the rest of the kidney.</s>",9.1,77.91,0.0,12.28,6.73,6th and 7th grade,30,3.2666666666666666,1.1,0.9,6.666666666666667,9.3,61.26,10.8,10.84,8.5,10th and 11th grade,111,3.963963963963964,1.2252252252252251,0.6936936936936937,8.108108108108109,-0.20000000000000107,-16.65,-10.8,1.4399999999999995,-1.7699999999999996,-0.6972972972972973,-0.12522522522522506,-1.4414414414414418,"Removal of an organ or tumor in such a way that it comes out clean and whole, like a nut from its shell."
gastrin,gastrin is A hormone released from special cells in the lining of the stomach after eating. Gastrin causes the stomach to release an acid that helps digest food.,"Okay! Here's my attempt at explaining the term ""gastrin"" in simple language:

Gastrin is a special kind of hormone that comes from cells in your tummy. When you eat food, these cells send a message to your stomach to start making acid to help break down what you're eating. It's like when you mix baking soda and vinegar in a volcano - the acid makes a fizzing sound and helps turn your food into nutrients your body can use. Just like how your stomach needs acid to digest food, gastrin helps your stomach do its job!</s>",7.2,66.74,0.0,5.2,11.57,6th and 7th grade,28,4.285714285714286,1.3571428571428572,0.8571428571428571,0.0,8.7,73.51,8.8,10.94,8.21,8th and 9th grade,109,3.7339449541284404,1.110091743119266,0.7064220183486238,3.669724770642202,-1.4999999999999991,6.77000000000001,-8.8,-5.739999999999999,3.3599999999999994,0.5517693315858452,0.24705111402359115,-3.669724770642202,A hormone made and released by the stomach.
genetic testing,"genetic testing is A laboratory method that looks for changes in genes, gene expression, or chromosomes in a person’s cells or tissues. Genetic testing may be done to look for inherited changes in a person's genes that may be a sign that the person has an increased risk of developing a specific disease or condition or of having a child or other family member with the disease or condition. This type of genetic testing is called germline testing. Genetic testing is also done on tumor tissue to look for genetic changes in the cancer cells. These changes occur during a person’s lifetime and are not inherited from a parent. This type of genetic testing, called somatic testing, is done to learn more about the cancer, plan treatment, or find out how well treatment is working.","Genetic testing is like a detective story where we use special tools to look for clues in your body. We check if there are any changes in your DNA, which are like the instructions for making you. These changes could mean you might get sick or have a baby with a sickness later on. We do this test to help predict what might happen and figure out the best way to stop it from happening. It's like solving a mystery!

Sometimes, these changes happen when you're growing inside your mom's tummy, and sometimes they happen after you're born. The test looks at the cells in your body, like little soldiers following orders, and checks if they're doing their job right. If some of them are acting weird, we call that a ""mutation."" It's like a mistake in the blueprints. We can then figure out what to do next to fix the problem.

There are two kinds of genetic tests: one looks for changes that might affect you, and the other looks at changes in the bad guys, the cancer cells. For both kinds, we try to find answers so we can help keep you healthy!</s>",10.2,58.82,11.2,11.2,8.71,10th and 11th grade,142,4.049295774647887,1.295774647887324,0.5352112676056338,8.450704225352112,6.0,80.51,7.8,7.89,7.3,7th and 8th grade,226,3.7168141592920354,1.0973451327433628,0.5486725663716814,3.5398230088495577,4.199999999999999,21.690000000000005,3.3999999999999995,3.3099999999999996,1.410000000000001,0.33248161535585163,0.19842951514396123,4.910881216502554,"A laboratory method that looks for changes in genes, gene expression, or chromosomes in a person’s cells or tissues. Genetic testing may be done to look for inherited changes in a person's genes that may be a sign that the person has an increased risk of developing a specific disease or condition or of having a child or other family member with the disease or condition. This type of genetic testing is called germline testing. Genetic testing is also done on tumor tissue to look for genetic changes in the cancer cells. These changes occur during a person’s lifetime and are not inherited from a parent. This type of genetic testing, called somatic testing, is done to learn more about the cancer, plan treatment, or find out how well treatment is working."
glucagon,glucagon is A hormone produced by the pancreas that increases the level of glucose (sugar) in the blood.,"Sure, I'd be happy to help! Here's my attempt at explaining the term ""glucagon"" in simple language:

Glucagon is like a magic pill that helps keep your blood sugar levels just right. When your blood sugar gets too low, your body releases glucagon into your bloodstream. This hormone tells your liver to release stored sugar into your blood, which helps bring your blood sugar back up to a healthy level. It's kind of like how your body has a built-in backup plan to keep you energized and focused throughout the day!</s>",8.7,62.68,0.0,11.51,9.12,8th and 9th grade,20,3.95,1.3,0.9,10.0,6.6,78.99,7.6,8.4,7.38,7th and 8th grade,105,3.876190476190476,1.1238095238095238,0.7142857142857143,2.857142857142857,2.0999999999999996,16.309999999999995,-7.6,3.1099999999999994,1.7399999999999993,0.07380952380952399,0.17619047619047623,7.142857142857142,A hormone made by the pancreas that works with insulin to control blood sugar levels.
hereditary,"hereditary is In medicine, describes the passing of genetic information from parent to child through the genes in sperm and egg cells. Also called inherited.","Sure! Here's my attempt to explain the term ""hereditary"" in a way that's easy to understand for a non-medical person:

Hereditary means something that is passed down from parents to their children through their genes. It's like a special set of instructions that are inside every cell in your body, telling them how to grow and work properly. These instructions are passed on from generation to generation through the sperm and egg cells that make up each family. So, if your mom or dad has a certain trait or condition, there's a good chance you might inherit it too. It's like a family recipe book - you get the same ingredients (genes) from your parents, and they help shape who you are and how your body works.</s>",8.0,59.3,0.0,9.8,10.15,9th and 10th grade,27,4.555555555555555,1.4074074074074074,0.8888888888888888,14.814814814814813,10.6,63.22,12.7,12.5,7.67,12th and 13th grade,147,3.8979591836734695,1.1564625850340136,0.6530612244897959,9.523809523809524,-2.5999999999999996,3.9200000000000017,-12.7,-2.6999999999999993,2.4800000000000004,0.6575963718820859,0.2509448223733939,5.291005291005289,Passed down from parent to child through coded information in cells.
hives,"hives is Itchy, raised red areas on the skin. Hives are caused by a reaction to certain foods, drugs, infections, or emotional stress. Also called urticaria.","Sure! Here's how I would explain the term ""hives"" to a non-medical person:

Hives are like little bumps on your skin that can be red, itchy, and uncomfortable. They can appear anywhere on your body, like on your arms, legs, or torso. They're caused by something inside your body reacting to something outside of it, like a certain food or medicine, or even stress. It's kind of like when you have an allergic reaction to something, but instead of sneezing or congestion, you get these little bumps on your skin. And just like how you need to take medicine to feel better when you're sick, there are things you can do to make hives go away too. So don't worry, hives aren't anything to be scared of, they're just your body's way of telling you something's not right and needs some attention.</s>",5.2,71.82,9.7,9.87,11.93,9th and 10th grade,31,3.935483870967742,1.1935483870967742,0.8387096774193549,12.903225806451612,9.9,65.05,10.9,10.94,7.29,10th and 11th grade,171,3.7076023391812867,1.0935672514619883,0.5614035087719298,6.432748538011696,-4.7,-6.769999999999996,-1.200000000000001,-1.0700000000000003,4.64,0.22788153178645532,0.09998113563478594,6.470477268439916,A skin rash caused by the body trying to rid itself of a foreign substance.
hypothalamus,"hypothalamus is The area of the brain that controls body temperature, hunger, and thirst.","Sure! Here's how I would explain the term ""hypothalamus"" to a non-medical person:

Imagine your brain as a super cooler for your body. It's like a thermostat that keeps your body at just the right temperature. That's what the hypothalamus does - it helps regulate your body's temperature, hunger, and thirst. So, if you're feeling hot or cold, the hypothalamus adjusts your body's temperature to keep you comfortable. And when you're hungry or thirsty, it sends signals to your body to eat or drink something. It's like a tiny boss that keeps everything running smoothly inside your head!</s>",7.2,66.74,0.0,11.35,9.14,7th and 8th grade,16,4.0,1.25,0.875,12.5,7.1,72.46,10.1,8.83,7.44,8th and 9th grade,121,3.8016528925619837,1.0909090909090908,0.6033057851239669,7.43801652892562,0.10000000000000053,5.719999999999999,-10.1,2.5199999999999996,1.7000000000000002,0.1983471074380163,0.15909090909090917,5.06198347107438,A part of the brain that works with the nervous system and glands that make hormones in the body.
ileum,"ileum is The last part of the small intestine. It connects to the cecum (first part of the large intestine). The ileum helps to further digest food coming from the stomach and other parts of the small intestine. It absorbs nutrients (vitamins, minerals, carbohydrates, fats, proteins) and water from food so they can be used by the body.","Sure! Here's how I would explain the term ""ileum"" to a non-medical person:

The ileum is like a special part of your digestive system that helps break down the food you eat into tiny little pieces that your body can use for energy. It's like a big, long tube that connects your stomach to your large intestine, and it has lots of tiny little hairs inside that help tear apart the food and absorb all the good stuff, like vitamins and minerals. So, when you eat something, it goes through your mouth, into your stomach, and then into your ileum, where it gets broken down even more before moving on to your large intestine and finally out of your body as poop. Makes sense?</s>",7.6,65.73,10.7,9.17,8.28,7th and 8th grade,68,3.9705882352941178,1.2058823529411764,0.6176470588235294,10.294117647058822,16.6,47.49,12.5,18.1,8.38,18th and 19th grade,142,3.795774647887324,1.1549295774647887,0.6338028169014085,5.633802816901409,-9.000000000000002,-18.240000000000002,-1.8000000000000007,-8.930000000000001,-0.10000000000000142,0.17481358740679376,0.05095277547638766,4.6603148301574135,The last section of the small intestine.
imaging,"imaging is In medicine, a process that makes pictures of areas inside the body. Imaging uses methods such as x-rays (high-energy radiation), ultrasound (high-energy sound waves), and radio waves.","Sure! Here's my attempt to explain the term ""imaging"" in a way that's easy to understand for a non-medical person:

Imaging is like taking a picture of the inside of your body using special tools. Just like how you take pictures of the outside of your body with a camera, imaging helps doctors see what's going on inside. There are different types of imaging, like X-rays, which use high-energy radiation to create pictures, and ultrasound, which uses high-energy sound waves. These images can help doctors figure out if there's something wrong and where it is in your body. It's like having a built-in superpower to see inside your own body without having to cut open your skin!</s>",12.1,32.39,0.0,11.33,11.32,11th and 12th grade,36,4.25,1.3888888888888888,0.8055555555555556,19.444444444444446,10.9,57.0,11.2,11.52,7.97,11th and 12th grade,135,4.0,1.2444444444444445,0.6370370370370371,7.4074074074074066,1.1999999999999993,24.61,-11.2,-0.1899999999999995,3.3500000000000005,0.25,0.14444444444444438,12.03703703703704,A test that makes pictures (images) of the insides of the body.
immune system,"immune system is A complex network of cells, tissues, organs, and the substances they make that helps the body fight infections and other diseases. The immune system includes white blood cells and organs and tissues of the lymph system, such as the thymus, spleen, tonsils, lymph nodes, lymph vessels, and bone marrow.","Sure! Here's my attempt at explaining the concept of the immune system in simple language, using everyday analogies and avoiding technical jargon:

The immune system is like a superhero team that protects your body from bad guys like germs and viruses. It's made up of special cells and organs that work together to keep you healthy. Just like how you have police officers who patrol the streets to catch criminals, your immune system has different types of cells that roam around your body looking for any danger. When they find something harmful, they fight it off with their own special powers. For example, some cells can recognize and destroy infected cells, while others can release chemicals to make the germs weak and unable to cause trouble. Your immune system is like a well-trained army, always on the lookout for threats and ready to defend you at a moment's notice.</s>",10.3,64.04,0.0,12.1,10.75,10th and 11th grade,59,4.11864406779661,1.152542372881356,0.6101694915254238,5.084745762711865,11.3,56.08,12.7,13.09,8.83,12th and 13th grade,160,4.28125,1.3125,0.675,10.0,-1.0,-7.960000000000008,-12.7,-0.9900000000000002,1.92,-0.16260593220339015,-0.15995762711864403,-4.915254237288135,The body’s natural defense against infection and disease.
insulin,"insulin is A hormone made by the islet cells of the pancreas. Insulin controls the amount of sugar in the blood by moving it into the cells, where it can be used by the body for energy.","Sure! Here's my attempt at explaining the term ""insulin"" in simple language that a non-medical person could understand:

Insulin is like a key that unlocks the door to your body's cells, allowing sugar to enter and be used as fuel. Without insulin, sugar would build up in your bloodstream and cause problems. The pancreas, a small organ near your stomach, makes insulin and releases it into your blood when needed. It's like a tiny factory inside you that keeps your body running smoothly. When you eat food, especially sugary foods, your body needs insulin to help process it and use the sugar for energy. Without enough insulin, your body can't use sugar properly, which can lead to problems like diabetes.</s>",6.6,79.09,0.0,9.29,7.21,6th and 7th grade,38,3.5526315789473686,1.236842105263158,0.7105263157894737,5.263157894736842,9.5,60.65,11.2,11.11,8.18,10th and 11th grade,138,4.007246376811594,1.2246376811594204,0.644927536231884,8.695652173913043,-2.9000000000000004,-18.440000000000005,-11.2,-1.8200000000000003,-0.9699999999999998,-0.4546147978642252,0.012204424103737566,-3.4324942791762014,A chemical that controls the amount of sugar in the blood. It lowers the blood sugar levels.
jejunum,"jejunum is The middle part of the small intestine. It is between the duodenum (first part of the small intestine) and the ileum (last part of the small intestine). The jejunum helps to further digest food coming from the stomach. It absorbs nutrients (vitamins, minerals, carbohydrates, fats, proteins) and water from food so they can be used by the body.","Sure, I'd be happy to help! Here's my explanation of the term ""jejunum"" in simple language:

The jejunum is like a long, thin tube inside your belly that helps break down the food you eat. It's like a big pipe that takes the food from your stomach and breaks it down into tiny pieces so your body can use the nutrients and energy it needs. It's like a magic machine that turns food into fuel for your body! And just like how you need different machines for different tasks, your body has different parts of the small intestine for different things, and the jejunum is one of them. It's very important for keeping you healthy and strong!</s>",7.8,65.22,11.2,9.94,7.89,7th and 8th grade,72,3.9166666666666665,1.1944444444444444,0.5694444444444444,11.11111111111111,7.2,77.57,10.1,9.0,7.21,6th and 7th grade,135,3.7333333333333334,1.1333333333333333,0.6148148148148148,6.666666666666667,0.5999999999999996,12.349999999999994,1.0999999999999996,0.9399999999999995,0.6799999999999997,0.18333333333333313,0.061111111111111116,4.444444444444444,The middle section of the small intestine.
liver,liver is A large organ located in the upper abdomen. The liver cleanses the blood and aids in digestion by secreting bile.,"Sure! Here's how I would explain the term ""liver"" to a non-medical person:

Hey there! So, you know how your body has different organs that help it work properly? Well, the liver is one of the most important ones. It's like a superhero organ that helps keep your body clean and healthy. It's located in your tummy, just below your ribcage, and it does lots of cool things like cleaning your blood and helping with digestion. It's like a magic filter that makes sure your blood stays pure and clean, so your body can function properly. Pretty cool, right?</s>",7.2,61.33,0.0,12.0,9.66,7th and 8th grade,22,4.136363636363637,1.4090909090909092,0.8181818181818182,18.181818181818183,6.4,74.29,9.2,7.62,7.58,7th and 8th grade,121,3.727272727272727,1.0826446280991735,0.6363636363636364,6.6115702479338845,0.7999999999999998,12.960000000000008,-9.2,4.38,2.08,0.4090909090909096,0.32644628099173567,11.5702479338843,The largest organ and gland in the body with many vital functions.
lung,"lung is One of a pair of organs in the chest that supplies the body with oxygen, and removes carbon dioxide from the body.","Sure! Here's how I would explain the term ""lung"" to a non-medical person:

Hey there! So, you know how you breathe in air and it goes into your body? Well, inside your body, there are two special organs called lungs. They're like two big balloons in your chest that take in oxygen from the air you breathe and give your body what it needs to stay alive. At the same time, they get rid of something called carbon dioxide, which is like a bad guy that your body doesn't need anymore. It's kind of like how your liver takes out the trash for your body - the lungs do the same thing for your breathing! Without these lungs, your body wouldn't be able to get the oxygen it needs, and you would feel really sick and tired all the time.</s>",9.9,65.05,0.0,12.68,8.9,9th and 10th grade,25,3.8,1.32,0.84,8.0,7.4,76.86,8.0,9.04,6.44,7th and 8th grade,164,3.6036585365853657,1.0548780487804879,0.5914634146341463,3.048780487804878,2.5,11.810000000000002,-8.0,3.6400000000000006,2.46,0.1963414634146341,0.2651219512195122,4.951219512195122,One of a pair of organs that consists of airways and air sacs.
observation,"observation is In medicine, watching a patient’s condition but not giving treatment unless symptoms appear or change.","Sure! Here's how I would explain the term ""observation"" in a way that's easy to understand for a non-medical person:

Observation means watching someone's health without giving any special treatment or medication unless their condition changes or they show new symptoms. It's like when you observe a bird building its nest - you don't touch it or try to fix it, you just watch from a distance to see how it progresses. In medicine, we do the same with patients - we keep an eye on them to see if their condition improves or gets worse, but we don't give any treatments unless they need them.</s>",10.7,46.78,0.0,8.9,9.36,8th and 9th grade,20,4.5,1.35,1.0,10.0,14.2,53.89,11.9,15.17,8.11,8th and 9th grade,122,3.8442622950819674,1.139344262295082,0.7131147540983607,5.737704918032787,-3.5,7.109999999999999,-11.9,-6.27,1.25,0.6557377049180326,0.21065573770491808,4.262295081967213,"In medicine, watching a patient’s condition but not giving treatment unless symptoms appear or change."
palliative care,"palliative care is Care given to improve the quality of life and help reduce pain in people who have a serious or life-threatening disease, such as cancer. The goal of palliative care is to prevent or treat, as early as possible, the symptoms of the disease and the side effects caused by treatment of the disease. It also attends to the psychological, social, and spiritual problems caused by the disease or its treatment. For cancer, palliative care may include therapies, such as surgery, radiation therapy, or chemotherapy, to remove, shrink, or slow the growth of a tumor that is causing pain. It may also include family and caregiver support. Palliative care may be given with other treatments from the time of diagnosis until the end of life.","Sure, I'd be happy to help! Here's an explanation of the term ""palliative care"" in simple language:

Palliative care is like a gentle hand on your shoulder, helping to ease the pain and discomfort of a serious illness. It's not about curing the illness, but rather about making you feel better and improving your quality of life. The team provides specialized care to manage the symptoms of the illness and its side effects, like pain, nausea, or breathing trouble. They also focus on your emotional well-being, supporting you and your loved ones through this difficult time. Palliative care can be given along with other treatments, like medication or surgery, to help you feel more comfortable and relaxed. It's there to help you live as well as possible, even if your illness isn't going away.</s>",11.0,51.38,11.9,11.95,8.6,11th and 12th grade,137,4.138686131386861,1.3503649635036497,0.5328467153284672,10.218978102189782,9.2,61.36,11.5,11.38,8.0,9th and 10th grade,155,4.038709677419355,1.2580645161290323,0.6451612903225806,9.67741935483871,1.8000000000000007,9.979999999999997,0.40000000000000036,0.5699999999999985,0.5999999999999996,0.0999764539675061,0.0923004473746174,0.5415587473510719,"Care given to improve the quality of life and help reduce pain in people who have a serious or life-threatening disease, such as cancer. The goal of palliative care is to prevent or treat, as early as possible, the symptoms of the disease and the side effects caused by treatment of the disease. It also attends to the psychological, social, and spiritual problems caused by the disease or its treatment. For cancer, palliative care may include therapies, such as surgery, radiation therapy, or chemotherapy, to remove, shrink, or slow the growth of a tumor that is causing pain. It may also include family and caregiver support. Palliative care may be given with other treatments from the time of diagnosis until the end of life."
pancreas,"pancreas is A glandular organ located in the abdomen. It makes pancreatic juices, which contain enzymes that aid in digestion, and it produces several hormones, including insulin. The pancreas is surrounded by the stomach, intestines, and other organs.","Okay! Here's my attempt to explain the term ""pancreas"" in simple language:

Hey there! So, you know how your body needs food to have energy and stay healthy? Well, the pancreas is like a little helper that helps make sure everything runs smoothly. It's a gland near your stomach that makes special juices that help break down food into tiny pieces so your body can use them for energy. Plus, it also makes some super important hormones that help control how much sugar is in your bloodstream. Without the pancreas, your body wouldn't be able to do these things properly, and you might get sick or feel really tired all the time. So, let's give a big cheer for the pancreas! 🎉</s>",10.3,42.38,13.6,15.91,11.69,10th and 11th grade,44,4.5227272727272725,1.5,0.7272727272727273,22.727272727272727,6.3,79.7,8.0,7.44,7.28,7th and 8th grade,142,3.711267605633803,1.1056338028169015,0.704225352112676,3.5211267605633805,4.000000000000001,37.32,5.6,8.469999999999999,4.409999999999999,0.8114596670934695,0.3943661971830985,19.206145966709347,An organ that makes fluids that help digest food and hormones that control blood sugar.
pelvis,"pelvis is The bones between the lower abdomen and upper thighs that connect the spine to the legs. The pelvis supports upper body weight, aids balance and walking, and protects the bladder, reproductive organs, colon, and rectum. The pelvis can also describe the pelvic region, or the area of the body below the abdomen that contains the hip bones, bladder, and rectum. In females, it also contains the vagina, cervix, uterus, fallopian tubes, and ovaries. In males, it also contains the prostate and seminal vesicles.","Okay! Here's how I would explain the term ""pelvis"" to a non-medical person:

So, have you ever sat on a chair or a couch and felt the curve of your bottom? That curved shape is kind of like the pelvis! The pelvis is a group of bones down there between your hips and knees that helps keep your body stable and balanced. It also protects some important organs like your bladder, reproductive system, and digestive system. In girls, the pelvis also holds their uterus and other lady parts. And in guys, it holds their prostate gland and other stuff too! Pretty cool, right?</s>",9.7,54.83,11.2,10.95,10.61,10th and 11th grade,101,4.118811881188119,1.3267326732673268,0.5148514851485149,9.900990099009901,5.2,82.54,8.0,7.26,8.0,7th and 8th grade,120,3.7416666666666667,1.1,0.6833333333333333,4.166666666666666,4.499999999999999,27.710000000000008,3.1999999999999993,3.6899999999999995,2.6099999999999994,0.3771452145214522,0.2267326732673267,5.734323432343235,The body area between the hipbones.
pineal gland,pineal gland is A tiny organ in the cerebrum that produces melatonin. Also called pineal body and pineal organ.,"Sure! Here's how I would explain the term ""pineal gland"" to a non-medical person:

The pineal gland is a small organ inside your brain that helps control your sleep and wakefulness. It's kind of like a tiny alarm clock that tells your body when it's time to sleep or be awake. It makes a hormone called melatonin that helps regulate these things. Imagine having a little voice in your head that tells you when it's time to go to bed or get up in the morning - that's what the pineal gland does!</s>",10.1,37.47,0.0,10.46,8.7,5th and 6th grade,19,4.315789473684211,1.6842105263157894,0.8421052631578947,21.052631578947366,8.1,75.03,9.5,10.93,7.27,6th and 7th grade,103,3.6310679611650487,1.0776699029126213,0.6699029126213593,4.854368932038835,2.0,37.56,-9.5,-0.46999999999999886,1.4299999999999997,0.6847215125191619,0.606540623403168,16.198262646908532,A small gland in the cerebrum of the brain.
